ts,numsurveys,numrespondents,mipds_101,mipds_102,mipds_103,mipds_105,mipds_109,mipds_110,mipds_203,mipds_204,mipds_207,mipds_308,mipds_309,mipds_401,mipds_404,mipds_503,mipds_509,mipds_601,mipds_602,mipds_603,mipds_605,mipds_610,mipds_804,mipds_901,mipds_1001,mipds_1011,mipds_1012,mipde_101,mipde_102,mipde_103,mipde_105,mipde_108,mipde_109,mipde_110,mipde_501,mipde_502,mipde_504,mipdfp_506,mipdfp_601,mipdfp_602,mipdfp_603,mipdfp_604,mipdfp_605,mipdfp_606,mipdfp_608,mipdfp_610,mipdfp_701,mipdfp_702,mipdsp_201,mipdsp_202,mipdsp_203,mipdsp_204,mipdsp_205,mipdsp_207,mipdsp_208,mipdsp_210,mipdsp_211,mipdsp_212,mipdsp_217,mipd_1,mipd_2,mipd_3,mipd_4,mipd_5,mipd_6,mipd_7,mipd_8,mipd_9,mipd_10,mipd_11,mipd_12,mipd_13,mipd_14,mipd_15,cap_1,cap_2,cap_3,cap_4,cap_5,cap_6,cap_7,cap_8,cap_9,cap_10,cap_12,cap_13,cap_14,cap_15,cap_16,cap_17,cap_18,cap_19,cap_20,cap_21,cap_22,cap_23,cap_24
1939q1,1,2818,3.194,42.477,.106,3.265,1.739,5.216,.195,0,.035,.284,.106,.248,0,0,.355,.39,2.91,0,11.32,0,0,.745,1.015,3.258,1.136,3.194,42.477,.106,3.265,.284,1.739,5.216,1.561,1.561,.852,0,.39,2.91,0,0,11.32,0,0,0,0,.035,.071,3.664,.195,0,.958,.035,1.029,0,1.623,0,0,60.432999,7.5760002,.53200001,.67400002,6.21,14.62,.035,.142,1.987,6.5650001,.90499997,.28400001,.035,0,0,64.087997,.81599998,.56800002,1.881,.28400001,.19499999,0,0,.35499999,.071,1.153,4.658,1.623,1.0650001,14.23,0,.035,.38999999,6.5650001,0,2.023,0,0
1939q2,1,3122,2.308,34.29,0,2.941,1.284,2.275,0,0,.666,0,.033,.13,0,0,.098,23.803,.195,0,11.463,0,0,.358,.13,.663,1.17,2.308,34.29,0,2.941,.065,1.284,2.275,1.154,1.154,.114,0,23.803,.195,0,0,11.463,0,0,0,0,0,.033,2.73,0,0,.195,.666,.65,0,.715,0,0,46.056,4.9889998,.033,.41600001,4.9569998,35.459999,0,0,1.138,2.119,.97500002,.163,2.221,0,1.473,48.34,.19499999,.13,2.438,.065,0,0,0,.098,.033,1.261,3.592,.71499997,.72299999,11.658,0,0,23.802999,2.119,0,3.359,0,1.473
1939q3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.447,6.5529997,.0495,.50049999,3.8944999,42.614,.0655,0,1.1785,3.0189999,.60250001,.1145,2.1109999,.115,.73650002,40.306499,.163,.0705,1.678,.1145,.164,0,0,.09,.0165,1.0325,5.1034999,.68199998,.6525,11.0205,0,.0655,31.680999,3.0189999,0,3.2895,.115,.73650002
1939q4,1,3049,1.312,21.958,.164,2.132,.836,3.116,.328,0,3.099,0,.066,.197,0,0,.082,39.461,.35,0,9.858,0,0,.191,.262,1.886,.623,1.312,21.958,.164,2.132,.131,.836,3.116,.689,.689,.454,.175,39.461,.35,0,0,9.858,0,0,.098,0,.131,.295,2.073,.328,0,1.181,3.099,.492,0,.649,0,0,30.837999,8.1169996,.066,.58499998,2.832,49.768002,.131,0,1.219,3.9189999,.23,.066,2.0009999,.23,0,32.272999,.131,.011,.91799998,.164,.32800001,0,0,.082,0,.80400002,6.6149998,.64899999,.58200002,10.383,0,.131,39.558998,3.9189999,0,3.22,.23,0
1940q1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.625333,6.5693331,.067,.44733332,6.2720002,47.989667,.179,0,1.2656666,6.0183333,.23366667,.07833333,2.0906666,.15333334,.01133333,29.960332,.14466667,.076,.89866666,.16666667,.24166667,0,0,.32999999,.03433333,.58200001,5.3616665,.44399999,.50266668,21.243667,0,.179,30.294332,6.0183333,0,3.3563333,.15333334,.01133333
1940q2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.412667,5.0216665,.068,.30966666,9.7120003,46.211333,.227,0,1.3123333,8.1176666,.23733333,.09066667,2.1803333,.07666667,.02266667,27.647666,.15833334,.141,.87933334,.16933334,.15533334,0,0,.57799998,.06866667,.36,4.1083333,.239,.42333335,32.104334,0,.227,21.029666,8.1176666,0,3.4926666,.07666667,.02266667
1940q3,1,2907,2.718,17.595,0,.378,.31,1.445,.069,.034,1.789,0,0,0,0,0,.791,11.249,18.324,0,14.345,0,0,.292,.877,7.293,.74,2.718,17.595,0,.378,.069,.31,1.445,.447,.55,10.503,10.297,11.249,18.324,0,0,14.345,0,0,.516,0,.275,.31,.722,.069,.034,.069,1.789,.344,0,.034,0,.103,24.200001,3.474,.069,.17200001,13.152,44.432999,.27500001,0,1.359,10.217,.241,.103,2.27,0,.034,25.334999,.17200001,.206,.86000001,.17200001,.069,0,0,.82599998,.103,.138,2.855,.034,.34400001,42.965,0,.27500001,11.765,10.217,0,3.6289999,0,.034
1940q4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.935801,2.7792,.0552,.1376,13.2016,48.794798,.22,0,1.2764,8.7802,.1928,.0824,2.516,0,.0272,22.742399,.1376,.1648,.68800001,.29960001,.0552,0,0,.66079998,.0824,.1104,2.284,.0272,.27520001,41.7558,0,.22,17.896,8.7802,0,3.7924,0,.0272
1941q1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.6716,2.0844,.0414,.1032,13.2512,53.156598,.165,0,1.1938,7.3434,.1446,.0618,2.762,0,.0204,20.149799,.1032,.1236,.51600001,.4272,.0414,0,0,.49559999,.0618,.0828,1.713,.0204,.20640001,40.5466,0,.165,24.026999,7.3434,0,3.9558,0,.0204
1941q2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.4074,1.3896,.0276,.0688,13.3008,57.518398,.11,0,1.1112,5.9066,.0964,.0412,3.008,0,.0136,17.557199,.0688,.0824,.34400001,.5548,.0276,0,0,.33039999,.0412,.0552,1.142,.0136,.1376,39.337399,0,.11,30.157999,5.9066,0,4.1192,0,.0136
